SN,Enunciado,Category
23,"Sea $N$ un entero positivo tal que existen exactamente $2005$ pares ordenados $(x,y)$ de números enteros positivos que satisfacen la ecuación
\[\frac{1}{x}+\frac{1}{y}=\frac{1}{N}{.}\]
Demostrar que $N$ es un cuadrado perfecto.",1
24,"Hallar todas las ternas de números enteros $(x,y,z)$ tales que 
$$\frac{1}{x^2}+\frac{1}{y^2}=z.$$",1
25,"Determinar todos los pares de enteros positivos $(a,b)$ para los cuales
\[\frac{a^2b+b}{ab^2+9}\]
es un número entero.
",1
26,"Sean $a$ y $b$ enteros. Demostrar que la ecuación
\[(x-a)(x-b)(x-3)+1=0\]
admite a lo sumo una solución entera.",1
27,¿Existe alguna potencia de $2$ tal que al escribirla en el sistema decimal tenga todos sus dígitos distintos de cero y sea posible reordenar los mismos para formar con ellos otra potencia de $2$?,1
28,"Encontrar el mayor entero $N$ que cumple las siguientes condiciones:

$E(\frac{N}{3})$ es un número de tres cifras iguales,
$E(\frac{N}{3})=1+2+\ldots+n$, para algún número natural $n\in\mathbb{N}$,

donde $E(x)$ denota la parte entera de $x$.",1
29,"Sea $a$ un entero positivo impar mayor que $17$ tal que $3a-2$ es un cuadrado perfecto. Demostrar que existen enteros positivos distintos $b$ y $c$ tales que $a+b$, $b+c$, $a+c$ y $a+b+c$ son cuatro cuadrados perfectos.",1
30,Hallar todos los números naturales $n$ tales que $2^n+12^n+2011^n$ es un cuadrado perfecto.,1
31,"Hallar todos los números enteros $n$ tales que
$$n^4-4n^3+22n^2-36n+18$$
es un cuadrado perfecto.",1
32,"Sean $a,b,c,d$ números naturales tales que $ad=b^2+bc+c^2$. Demostrar que
$$a^2+b^2+c^2+d^2$$
es un número compuesto.",1
33,Hallar todos los polinomios de coeficientes enteros $P(x)$ con la propiedad de que $P(n)$ divide a $2^n-1$ para todo número natural  $n$.,1
34,Determinar todos los números naturales $m$ tales que $m2^{m-1}+1$ es un cuadrado perfecto.,1
35,"Descomponer en factores primos el número
\[N=1995\cdot 2007\cdot 2013+320.\]",1
36,"Sean $a,b,c,d,p,q$ números naturales tales que $ad-bc=1$ y
\[\frac{a}{b}\gt\frac{p}{q}\gt\frac{c}{d}{.}\]
Demostrar que

$q\geq b+d$.
Si $q=b+d$, entonces $p=a+c$.
",1
37,Determinar razonadamente si el número $\sqrt{3n^2+2n+2}$ es irracional para todo entero no negativo $n$.,1
38,"Sean $a$, $b$ y $n$ enteros positivos tales que $ab-1=n^2$. Demostrar que
$$|a-b|\geq\sqrt{4n-3}.$$
Indicar justificadamente cuándo se alcanza la igualdad.",1
39,"Demostrar que si $4^n+2^n+1$ es primo, entonces $n$ es una potencia de $3$.",1
40,"Demuestra que, para cualesquiera enteros no negativos $m$ y $n$, el número
\[\frac{(2m)!(2n)!}{m!\,n!(m+n)!}\]
es entero.",1
41,"Demostrar que si $n$ es un número impar, entonces $2^n+3^n$ no es un cuadrado perfecto. ",1
42,"Sea $P(x,y)=2x^2-6xy+5y^2$. Diremos que $a$ es un valor de $P$ si existen números enteros $b$ y $c$ tales que $a=P(b,c)$.

Determinar cuántos elementos de $\{1,2,...,100\}$ son valores de $P$.
Probar que el producto de valores de $P$ es un valor de $P$.
",1
